# s/[mm],T1/[s],T2/[s],x/[mm]
100,10.06,10.04,150
150,9.65,9.95,150
200,9.37,9.88,150
250,9.17,9.8,150
300,9.07,9.74,150
350,9.01,9.68,150
400,8.98,9.64,150
450,9.01,9.62,150
500,9.05,9.57,150
550,9.15,9.59,150
600,9.21,9.6,150
650,9.33,9.62,150
700,9.47,9.66,150
750,9.59,9.74,150
800,9.74,9.81,150
850,9.9,9.93,150
900,10.06,10.04,150
100,10.72,10.16,200
150,10.26,10.08,200
200,9.92,9.99,200
250,9.7,9.92,200
300,9.52,9.84,200
350,9.42,9.81,200
400,9.37,9.78,200
450,9.37,9.74,200
500,9.4,9.73,200
550,9.45,9.73,200
600,9.52,9.73,200
650,9.62,9.75,200
700,9.73,9.8,200
750,9.85,9.88,200
800,9.95,9.98,200
850,10.13,10.09,200
900,10.28,10.22,200
100,11.19,10.27,250
150,10.7,10.19,250
200,10.29,10.11,250
250,10,10.06,250
300,9.85,10,250
350,9.74,9.95,250
400,9.65,9.94,250
450,9.63,9.89,250
500,9.67,9.88,250
550,9.69,9.89,250
600,9.75,9.91,250
650,9.84,9.95,250
700,9.95,9.99,250
750,10.06,10.07,250
800,10.19,10.15,250
850,10.32,10.27,250
900,10.45,10.39,250
