#
#
#
#t (s);#V (mV)
-0.01;-3.176E-01
0.99;-3.171E-01
1.99;-3.167E-01
2.99;-3.166E-01
3.99;-3.163E-01
4.99;-3.158E-01
5.99;-3.153E-01
6.99;-3.145E-01
7.99;-3.141E-01
8.99;-3.139E-01
9.99;-3.129E-01
10.99;-3.124E-01
11.99;-3.118E-01
12.99;-3.110E-01
13.99;-3.106E-01
14.99;-3.099E-01
15.99;-3.091E-01
16.99;-3.084E-01
17.99;-3.079E-01
18.99;-3.069E-01
19.99;-3.060E-01
20.98;-3.055E-01
21.98;-3.044E-01
22.98;-3.037E-01
23.98;-3.025E-01
24.98;-3.017E-01
25.98;-3.008E-01
26.98;-2.996E-01
27.98;-2.988E-01
28.98;-2.981E-01
29.98;-2.974E-01
30.98;-2.960E-01
31.98;-2.951E-01
32.98;-2.942E-01
33.98;-2.929E-01
34.98;-2.918E-01
35.98;-2.909E-01
36.98;-2.896E-01
37.98;-2.883E-01
38.98;-2.874E-01
39.98;-2.860E-01
40.98;-2.850E-01
41.98;-2.841E-01
42.98;-2.829E-01
43.98;-2.819E-01
45.00;-2.811E-01
46.00;-2.800E-01
47.00;-2.785E-01
48.01;-2.738E-01
49.01;-2.460E-01
50.01;-1.945E-01
51.01;-1.255E-01
52.01;-4.536E-02
53.01;4.109E-02
54.01;1.319E-01
55.01;2.247E-01
56.01;3.180E-01
57.01;4.114E-01
58.01;5.043E-01
59.01;5.958E-01
60.01;6.862E-01
61.01;7.752E-01
62.01;8.623E-01
63.01;9.482E-01
64.01;1.032E+00
65.01;1.114E+00
66.01;1.194E+00
67.02;1.272E+00
68.02;1.346E+00
69.02;1.419E+00
70.02;1.490E+00
71.02;1.561E+00
72.02;1.630E+00
73.02;1.697E+00
74.02;1.762E+00
75.02;1.826E+00
76.02;1.888E+00
77.02;1.948E+00
78.02;2.007E+00
79.02;2.063E+00
80.02;2.118E+00
81.02;2.171E+00
82.02;2.223E+00
83.02;2.272E+00
84.04;2.321E+00
85.04;2.368E+00
86.04;2.413E+00
87.05;2.457E+00
88.07;2.500E+00
89.07;2.541E+00
90.07;2.580E+00
91.07;2.618E+00
92.07;2.656E+00
93.07;2.691E+00
94.07;2.726E+00
95.07;2.759E+00
96.07;2.791E+00
97.07;2.821E+00
98.07;2.851E+00
99.07;2.880E+00
100.07;2.907E+00
101.07;2.933E+00
102.07;2.958E+00
103.07;2.981E+00
104.07;3.004E+00
105.07;3.026E+00
106.07;3.048E+00
107.07;3.070E+00
108.07;3.090E+00
109.07;3.110E+00
110.07;3.131E+00
111.07;3.152E+00
112.07;3.173E+00
113.07;3.192E+00
114.07;3.210E+00
115.07;3.228E+00
116.07;3.246E+00
117.07;3.264E+00
118.07;3.280E+00
119.07;3.294E+00
120.07;3.307E+00
121.08;3.319E+00
122.08;3.331E+00
123.08;3.342E+00
124.08;3.352E+00
125.08;3.362E+00
126.08;3.371E+00
127.09;3.380E+00
128.09;3.388E+00
129.09;3.397E+00
130.09;3.405E+00
131.09;3.413E+00
132.09;3.420E+00
133.09;3.428E+00
134.09;3.436E+00
135.09;3.443E+00
136.09;3.450E+00
137.09;3.457E+00
138.09;3.464E+00
139.09;3.471E+00
140.09;3.478E+00
141.09;3.484E+00
142.09;3.490E+00
143.09;3.496E+00
144.09;3.502E+00
145.09;3.508E+00
146.09;3.514E+00
147.09;3.520E+00
148.09;3.525E+00
149.09;3.531E+00
150.09;3.536E+00
151.09;3.541E+00
152.09;3.546E+00
153.09;3.551E+00
154.09;3.556E+00
155.09;3.561E+00
156.09;3.565E+00
157.09;3.569E+00
158.09;3.573E+00
159.09;3.578E+00
160.09;3.582E+00
161.11;3.588E+00
162.12;3.594E+00
163.14;3.599E+00
164.14;3.604E+00
165.14;3.610E+00
166.15;3.616E+00
167.15;3.621E+00
168.15;3.626E+00
169.15;3.631E+00
170.15;3.636E+00
171.15;3.641E+00
172.15;3.646E+00
173.15;3.651E+00
174.15;3.655E+00
175.15;3.660E+00
176.15;3.665E+00
177.15;3.669E+00
178.15;3.673E+00
179.15;3.678E+00
180.15;3.682E+00
181.15;3.686E+00
182.15;3.691E+00
183.15;3.695E+00
184.15;3.699E+00
185.15;3.704E+00
186.15;3.708E+00
187.15;3.711E+00
188.15;3.716E+00
189.15;3.719E+00
190.15;3.723E+00
191.15;3.727E+00
192.15;3.731E+00
193.15;3.736E+00
194.15;3.740E+00
195.15;3.745E+00
196.15;3.750E+00
197.15;3.755E+00
198.15;3.759E+00
199.15;3.764E+00
200.15;3.768E+00
201.15;3.773E+00
202.15;3.777E+00
203.15;3.781E+00
204.15;3.785E+00
205.15;3.788E+00
206.15;3.793E+00
207.15;3.797E+00
208.15;3.804E+00
209.15;3.811E+00
210.15;3.820E+00
211.15;3.830E+00
212.15;3.839E+00
213.15;3.850E+00
214.15;3.859E+00
215.16;3.870E+00
216.16;3.881E+00
217.16;3.890E+00
218.16;3.901E+00
219.18;3.911E+00
220.18;3.920E+00
221.18;3.930E+00
222.18;3.939E+00
223.19;3.948E+00
224.19;3.956E+00
225.19;3.963E+00
226.19;3.970E+00
227.19;3.977E+00
228.19;3.984E+00
229.19;3.991E+00
230.19;3.997E+00
231.19;4.003E+00
232.19;4.009E+00
233.19;4.016E+00
234.19;4.021E+00
235.19;4.027E+00
236.19;4.032E+00
237.19;4.037E+00
238.19;4.042E+00
239.19;4.047E+00
240.19;4.052E+00
241.19;4.057E+00
242.19;4.061E+00
243.19;4.066E+00
244.19;4.070E+00
245.19;4.074E+00
246.19;4.078E+00
247.19;4.082E+00
248.19;4.086E+00
249.19;4.089E+00
250.19;4.093E+00
251.19;4.097E+00
252.19;4.100E+00
253.19;4.104E+00
254.21;4.106E+00
255.21;4.110E+00
256.21;4.113E+00
257.22;4.116E+00
258.23;4.118E+00
259.23;4.121E+00
260.23;4.124E+00
261.23;4.127E+00
262.23;4.129E+00
263.23;4.132E+00
264.23;4.134E+00
265.23;4.136E+00
266.23;4.139E+00
267.23;4.141E+00
268.23;4.143E+00
269.23;4.145E+00
270.23;4.147E+00
271.23;4.149E+00
272.23;4.151E+00
273.23;4.153E+00
274.25;4.155E+00
275.25;4.157E+00
276.26;4.159E+00
277.28;4.160E+00
278.28;4.162E+00
279.28;4.164E+00
280.28;4.165E+00
281.28;4.167E+00
282.28;4.169E+00
283.28;4.170E+00
284.28;4.172E+00
285.28;4.173E+00
286.28;4.175E+00
287.28;4.176E+00
288.28;4.177E+00
289.28;4.179E+00
290.28;4.180E+00
291.28;4.181E+00
292.28;4.182E+00
293.28;4.183E+00
294.28;4.184E+00
295.28;4.186E+00
296.28;4.187E+00
297.28;4.188E+00
298.28;4.189E+00
299.27;4.190E+00
300.27;4.191E+00
301.27;4.192E+00
302.27;4.193E+00
303.27;4.194E+00
304.27;4.195E+00
305.27;4.196E+00
306.27;4.197E+00
307.27;4.198E+00
308.27;4.199E+00
309.27;4.200E+00
310.27;4.201E+00
311.27;4.202E+00
312.27;4.202E+00
313.27;4.203E+00
314.27;4.204E+00
315.27;4.204E+00
316.27;4.205E+00
317.27;4.205E+00
318.29;4.206E+00
319.29;4.206E+00
320.29;4.206E+00
321.29;4.206E+00
322.29;4.207E+00
323.29;4.199E+00
324.29;4.165E+00
325.29;4.108E+00
326.29;4.035E+00
327.29;3.950E+00
328.29;3.857E+00
329.30;3.758E+00
330.30;3.658E+00
331.30;3.556E+00
332.30;3.454E+00
333.30;3.351E+00
334.30;3.250E+00
335.30;3.149E+00
336.30;3.049E+00
337.30;2.952E+00
338.30;2.856E+00
339.30;2.762E+00
340.30;2.671E+00
341.30;2.582E+00
342.30;2.495E+00
343.30;2.410E+00
344.30;2.327E+00
345.30;2.248E+00
346.30;2.169E+00
347.30;2.094E+00
348.30;2.021E+00
349.30;1.950E+00
350.30;1.881E+00
351.31;1.814E+00
352.31;1.749E+00
353.31;1.687E+00
354.31;1.626E+00
355.31;1.569E+00
356.31;1.512E+00
357.31;1.458E+00
358.31;1.405E+00
359.31;1.354E+00
360.31;1.305E+00
361.31;1.258E+00
362.31;1.212E+00
363.31;1.168E+00
364.31;1.126E+00
365.31;1.085E+00
366.31;1.045E+00
367.32;1.007E+00
368.32;9.700E-01
369.32;9.343E-01
370.32;9.003E-01
371.32;8.672E-01
372.32;8.356E-01
373.32;8.050E-01
374.32;7.757E-01
375.32;7.475E-01
376.32;7.199E-01
377.32;6.937E-01
378.32;6.685E-01
379.32;6.437E-01
380.32;6.205E-01
381.32;5.980E-01
382.32;5.761E-01
383.32;5.549E-01
384.32;5.349E-01
385.32;5.154E-01
386.32;4.969E-01
387.32;4.786E-01
388.32;4.616E-01
389.32;4.447E-01
390.32;4.289E-01
391.32;4.136E-01
392.32;3.987E-01
393.32;3.845E-01
394.32;3.706E-01
395.32;3.577E-01
396.32;3.449E-01
397.32;3.325E-01
398.32;3.210E-01
399.32;3.097E-01
400.32;2.989E-01
401.32;2.887E-01
402.32;2.788E-01
403.32;2.689E-01
404.32;2.593E-01
405.32;2.509E-01
406.32;2.423E-01
407.32;2.337E-01
408.32;2.262E-01
409.32;2.187E-01
410.32;2.113E-01
411.32;2.040E-01
412.32;1.975E-01
413.32;1.910E-01
414.32;1.849E-01
415.32;1.793E-01
416.32;1.734E-01
417.32;1.682E-01
418.32;1.630E-01
419.32;1.576E-01
420.32;1.527E-01
421.32;1.480E-01
422.32;1.437E-01
423.32;1.394E-01
424.32;1.355E-01
425.32;1.315E-01
426.32;1.275E-01
427.32;1.242E-01
428.32;1.207E-01
429.32;1.173E-01
430.32;1.141E-01
431.32;1.108E-01
432.32;1.085E-01
433.32;1.054E-01
434.32;1.029E-01
435.32;1.004E-01
436.32;9.772E-02
437.32;9.582E-02
438.32;9.336E-02
439.32;9.121E-02
440.32;8.921E-02
441.32;8.749E-02
442.32;8.568E-02
443.32;8.393E-02
444.32;8.225E-02
451.08;7.286E-02
452.08;7.162E-02
453.08;7.042E-02
454.08;6.956E-02
455.08;6.850E-02
456.08;6.749E-02
457.09;6.663E-02
458.09;6.585E-02
459.09;6.480E-02
460.09;6.426E-02
461.09;6.359E-02
462.09;6.275E-02
463.09;6.215E-02
464.09;6.170E-02
465.09;6.094E-02
466.09;6.025E-02
467.09;5.976E-02
468.09;5.939E-02
469.09;5.883E-02
470.09;5.858E-02
471.09;5.805E-02
472.09;5.755E-02
473.09;5.755E-02
474.09;5.706E-02
475.09;5.671E-02
476.09;5.666E-02
477.09;5.604E-02
478.09;5.574E-02
479.09;5.584E-02
480.09;5.563E-02
481.09;5.531E-02
482.09;5.516E-02
483.09;5.505E-02
484.09;5.476E-02
485.09;5.501E-02
486.09;5.432E-02
487.09;5.476E-02
488.09;5.464E-02
489.11;5.459E-02
490.12;5.453E-02
491.14;5.441E-02
492.15;5.436E-02
493.15;5.434E-02
494.15;5.451E-02
495.15;5.447E-02
496.15;5.392E-02
497.15;5.445E-02
498.15;5.413E-02
499.15;5.451E-02
500.15;5.419E-02
501.15;5.476E-02
502.15;5.445E-02
503.15;5.470E-02
504.15;5.449E-02
505.15;5.470E-02
506.15;5.439E-02
507.15;5.485E-02
508.15;5.476E-02
509.15;5.512E-02
510.15;5.488E-02
511.15;5.513E-02
512.15;5.559E-02
513.15;5.531E-02
514.15;5.559E-02
515.15;5.538E-02
516.15;5.538E-02
517.15;5.561E-02
518.15;5.563E-02
519.15;5.599E-02
520.15;5.597E-02
521.15;5.631E-02
522.15;5.642E-02
523.15;5.652E-02
524.15;5.692E-02
525.15;5.679E-02
526.15;5.702E-02
527.15;5.721E-02
528.15;5.776E-02
529.15;5.759E-02
530.15;5.771E-02
531.15;5.787E-02
532.15;5.809E-02
533.15;5.847E-02
534.15;5.834E-02
535.15;5.837E-02
536.15;5.876E-02
537.15;5.905E-02
538.15;5.915E-02
539.15;5.941E-02
540.15;5.947E-02
541.15;5.987E-02
542.15;5.973E-02
543.15;6.008E-02
544.15;6.025E-02
545.15;6.061E-02
546.15;6.067E-02
547.15;6.075E-02
548.15;6.117E-02
549.15;6.109E-02
550.15;6.132E-02
551.15;6.143E-02
552.15;6.157E-02
553.15;6.164E-02
554.15;6.230E-02
555.15;6.254E-02
556.15;6.248E-02
557.15;6.273E-02
558.15;6.275E-02
559.15;6.320E-02
560.15;6.324E-02
561.15;6.340E-02
562.16;6.345E-02
563.16;6.379E-02
564.18;6.423E-02
