#
#Caiguda de tensió (DC)
#a la sortida del microcalorímetre
#t (s);#V (mV)
-0.03;-1.493E+00
0.99;-1.494E+00
1.99;-1.494E+00
2.99;-1.495E+00
3.99;-1.495E+00
4.99;-1.496E+00
6.00;-1.496E+00
7.01;-1.497E+00
8.01;-1.497E+00
9.01;-1.498E+00
10.01;-1.498E+00
11.01;-1.499E+00
12.01;-1.499E+00
13.01;-1.500E+00
14.01;-1.500E+00
15.01;-1.501E+00
16.01;-1.501E+00
17.01;-1.502E+00
18.01;-1.502E+00
19.01;-1.502E+00
20.01;-1.503E+00
21.01;-1.503E+00
22.01;-1.504E+00
23.01;-1.504E+00
24.03;-1.505E+00
25.03;-1.505E+00
26.03;-1.505E+00
27.03;-1.506E+00
28.04;-1.506E+00
29.04;-1.506E+00
30.04;-1.507E+00
31.04;-1.508E+00
32.04;-1.508E+00
33.04;-1.508E+00
34.04;-1.509E+00
35.04;-1.509E+00
36.04;-1.510E+00
37.04;-1.510E+00
38.04;-1.510E+00
39.04;-1.510E+00
40.04;-1.511E+00
41.04;-1.511E+00
42.04;-1.512E+00
43.04;-1.512E+00
44.04;-1.512E+00
45.04;-1.512E+00
46.04;-1.513E+00
47.04;-1.513E+00
48.04;-1.514E+00
49.04;-1.514E+00
50.04;-1.514E+00
51.04;-1.514E+00
52.04;-1.515E+00
53.04;-1.515E+00
54.04;-1.515E+00
55.06;-1.515E+00
56.06;-1.516E+00
57.06;-1.516E+00
58.06;-1.516E+00
59.05;-1.517E+00
60.05;-1.517E+00
61.05;-1.517E+00
62.05;-1.518E+00
63.05;-1.518E+00
64.05;-1.518E+00
65.05;-1.518E+00
66.05;-1.518E+00
67.05;-1.519E+00
68.05;-1.519E+00
69.05;-1.519E+00
70.05;-1.519E+00
71.05;-1.520E+00
72.05;-1.520E+00
73.05;-1.520E+00
74.05;-1.520E+00
75.05;-1.520E+00
76.05;-1.521E+00
77.07;-1.521E+00
78.07;-1.521E+00
79.07;-1.521E+00
80.07;-1.522E+00
81.08;-1.522E+00
82.08;-1.522E+00
83.08;-1.522E+00
84.08;-1.522E+00
85.08;-1.522E+00
86.08;-1.522E+00
87.08;-1.522E+00
88.08;-1.523E+00
89.08;-1.523E+00
90.08;-1.523E+00
91.08;-1.523E+00
92.08;-1.524E+00
93.08;-1.524E+00
94.08;-1.524E+00
95.08;-1.524E+00
96.08;-1.524E+00
97.10;-1.524E+00
98.11;-1.524E+00
99.12;-1.524E+00
100.12;-1.525E+00
101.12;-1.525E+00
102.12;-1.525E+00
103.12;-1.525E+00
104.12;-1.525E+00
105.12;-1.526E+00
106.12;-1.526E+00
107.12;-1.526E+00
108.12;-1.525E+00
109.12;-1.526E+00
110.12;-1.526E+00
111.12;-1.526E+00
112.12;-1.526E+00
113.12;-1.526E+00
114.12;-1.526E+00
115.12;-1.526E+00
116.14;-1.526E+00
117.14;-1.526E+00
118.14;-1.526E+00
119.14;-1.526E+00
120.14;-1.526E+00
121.14;-1.527E+00
122.14;-1.527E+00
123.14;-1.527E+00
124.14;-1.527E+00
125.14;-1.527E+00
126.14;-1.527E+00
127.14;-1.528E+00
128.14;-1.527E+00
129.14;-1.527E+00
130.14;-1.527E+00
131.14;-1.527E+00
132.14;-1.528E+00
133.14;-1.527E+00
134.14;-1.527E+00
135.14;-1.528E+00
136.15;-1.527E+00
137.15;-1.528E+00
138.16;-1.528E+00
139.16;-1.528E+00
140.16;-1.528E+00
141.16;-1.528E+00
142.16;-1.528E+00
143.16;-1.528E+00
144.16;-1.528E+00
145.16;-1.528E+00
146.16;-1.528E+00
147.16;-1.528E+00
148.16;-1.528E+00
149.16;-1.528E+00
150.16;-1.528E+00
151.16;-1.528E+00
152.16;-1.528E+00
153.16;-1.528E+00
154.16;-1.527E+00
155.16;-1.528E+00
156.18;-1.528E+00
157.19;-1.528E+00
158.21;-1.528E+00
159.21;-1.528E+00
160.21;-1.528E+00
161.21;-1.528E+00
162.21;-1.528E+00
163.21;-1.528E+00
164.21;-1.528E+00
165.21;-1.528E+00
166.21;-1.527E+00
167.21;-1.527E+00
168.21;-1.527E+00
169.21;-1.528E+00
170.21;-1.527E+00
171.21;-1.528E+00
172.21;-1.527E+00
173.21;-1.528E+00
174.21;-1.527E+00
175.21;-1.527E+00
176.21;-1.527E+00
177.22;-1.527E+00
178.22;-1.527E+00
179.22;-1.527E+00
180.22;-1.527E+00
181.22;-1.527E+00
182.22;-1.527E+00
183.22;-1.527E+00
184.22;-1.527E+00
185.22;-1.527E+00
186.22;-1.527E+00
187.22;-1.526E+00
188.22;-1.527E+00
189.22;-1.527E+00
190.22;-1.526E+00
191.22;-1.526E+00
192.22;-1.526E+00
193.22;-1.526E+00
194.22;-1.526E+00
195.22;-1.526E+00
196.22;-1.526E+00
197.22;-1.526E+00
198.22;-1.526E+00
199.22;-1.526E+00
200.22;-1.525E+00
201.23;-1.525E+00
202.23;-1.525E+00
203.23;-1.525E+00
204.23;-1.525E+00
205.23;-1.525E+00
206.23;-1.524E+00
207.23;-1.524E+00
208.23;-1.524E+00
209.23;-1.524E+00
210.23;-1.524E+00
211.23;-1.524E+00
212.23;-1.524E+00
213.23;-1.523E+00
214.23;-1.523E+00
215.23;-1.523E+00
216.23;-1.523E+00
217.23;-1.523E+00
218.23;-1.522E+00
219.23;-1.522E+00
220.23;-1.522E+00
221.23;-1.522E+00
222.23;-1.521E+00
223.23;-1.521E+00
224.23;-1.521E+00
225.23;-1.521E+00
226.23;-1.521E+00
227.23;-1.520E+00
228.23;-1.520E+00
229.23;-1.520E+00
230.23;-1.520E+00
231.23;-1.520E+00
232.23;-1.520E+00
233.23;-1.519E+00
234.23;-1.519E+00
235.23;-1.519E+00
236.23;-1.519E+00
237.23;-1.519E+00
238.23;-1.519E+00
239.23;-1.518E+00
240.23;-1.518E+00
241.23;-1.518E+00
242.23;-1.518E+00
243.23;-1.518E+00
244.23;-1.518E+00
245.23;-1.517E+00
246.23;-1.517E+00
247.23;-1.517E+00
248.23;-1.516E+00
249.22;-1.516E+00
250.22;-1.516E+00
251.22;-1.515E+00
252.22;-1.515E+00
253.22;-1.515E+00
254.22;-1.514E+00
255.22;-1.514E+00
256.22;-1.513E+00
257.22;-1.512E+00
258.22;-1.511E+00
259.22;-1.510E+00
260.22;-1.508E+00
261.22;-1.507E+00
262.22;-1.505E+00
263.22;-1.504E+00
264.22;-1.502E+00
265.22;-1.501E+00
266.24;-1.500E+00
267.24;-1.498E+00
268.24;-1.497E+00
269.25;-1.496E+00
270.25;-1.496E+00
271.25;-1.496E+00
272.25;-1.495E+00
273.25;-1.495E+00
274.25;-1.494E+00
275.25;-1.494E+00
276.25;-1.494E+00
277.25;-1.494E+00
278.25;-1.494E+00
279.25;-1.493E+00
280.25;-1.493E+00
281.25;-1.493E+00
282.25;-1.492E+00
283.25;-1.492E+00
284.25;-1.493E+00
285.25;-1.492E+00
286.25;-1.493E+00
287.26;-1.493E+00
288.26;-1.493E+00
289.26;-1.493E+00
290.26;-1.493E+00
291.26;-1.493E+00
292.26;-1.493E+00
293.26;-1.492E+00
294.26;-1.493E+00
295.26;-1.492E+00
296.26;-1.492E+00
297.26;-1.492E+00
298.26;-1.492E+00
299.26;-1.492E+00
300.26;-1.492E+00
301.26;-1.492E+00
302.26;-1.492E+00
303.26;-1.491E+00
304.26;-1.491E+00
305.26;-1.491E+00
