# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,153,153,153,21.000,161.000,1.128,1.128,0
2,0,145,145,145,127.500,162.500,1.128,1.128,0
3,0,145,145,145,152.500,166.500,1.128,1.128,0
4,0,144,144,144,173.500,164.500,1.128,1.128,0
5,0,140,140,140,192.500,165.500,1.128,1.128,0
6,0,137,137,137,210.500,160.500,1.128,1.128,0
7,0,132,132,132,223.500,156.500,1.128,1.128,0
8,0,131,131,131,239.500,157.500,1.128,1.128,0
9,0,132,132,132,252.500,159.500,1.128,1.128,0
10,0,125,125,125,266.500,160.500,1.128,1.128,0
11,0,125,125,125,279.500,156.500,1.128,1.128,0
12,0,123,123,123,290.500,153.500,1.128,1.128,0
13,0,118,118,118,301.500,141.500,1.128,1.128,0
14,0,117,117,117,311.500,136.500,1.128,1.128,0
15,0,113,113,113,323.500,134.500,1.128,1.128,0
16,0,103,103,103,333.500,128.500,1.128,1.128,0
17,0,106,106,106,342.500,121.500,1.128,1.128,0
