# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,89,89,89,32.202,158.780,1.128,1.128,0
2,0,164,164,164,91.403,157.652,1.128,1.128,0
3,0,161,161,161,139.328,156.806,1.128,1.128,0
4,0,158,158,158,170.902,155.115,1.128,1.128,0
5,0,149,149,149,196.274,154.833,1.128,1.128,0
6,0,153,153,153,219.954,153.987,1.128,1.128,0
7,0,146,146,146,240.816,154.269,1.128,1.128,0
8,0,145,145,145,259.140,153.705,1.128,1.128,0
9,0,142,142,142,276.618,154.551,1.128,1.128,0
10,0,135,135,135,292.687,154.551,1.128,1.128,0
11,0,129,129,129,307.910,153.705,1.128,1.128,0
12,0,123,123,123,322.852,153.705,1.128,1.128,0
13,0,118,118,118,336.665,153.423,1.128,1.128,0
