# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,101,101,101,162.162,143.274,1.128,1.128,0
2,0,132,132,132,183.588,136.227,1.128,1.128,0
3,0,134,134,134,195.710,135.663,1.128,1.128,0
4,0,127,127,127,203.885,134.817,1.128,1.128,0
5,0,126,126,126,211.497,134.817,1.128,1.128,0
6,0,130,130,130,217.981,136.227,1.128,1.128,0
7,0,127,127,127,223.901,137.354,1.128,1.128,0
8,0,120,120,120,228.975,139.892,1.128,1.128,0
9,0,129,129,129,233.768,140.173,1.128,1.128,0
10,0,118,118,118,238.278,137.072,1.128,1.128,0
11,0,121,121,121,242.225,134.535,1.128,1.128,0
