#
#Diferencia de potencial
#a la sortida 
#t (s);V (mV)
-0.01;-6.356E-02
0.99;-6.314E-02
1.99;-6.274E-02
2.99;-6.201E-02
3.99;-6.167E-02
4.99;-6.082E-02
5.99;-6.036E-02
6.99;-5.991E-02
7.99;-5.936E-02
8.99;-5.890E-02
9.99;-5.829E-02
10.99;-5.788E-02
11.99;-5.730E-02
12.99;-5.694E-02
13.99;-5.658E-02
14.99;-5.617E-02
15.99;-5.535E-02
16.99;-5.505E-02
17.99;-5.454E-02
18.99;-5.425E-02
19.99;-5.350E-02
20.99;-5.344E-02
21.99;-5.284E-02
22.99;-5.242E-02
23.99;-5.206E-02
24.99;-5.160E-02
25.99;-5.114E-02
26.99;-5.046E-02
27.99;-5.053E-02
28.99;-4.957E-02
29.99;-4.929E-02
30.99;-4.912E-02
31.99;-4.884E-02
32.99;-4.836E-02
33.99;-4.809E-02
34.99;-4.777E-02
35.99;-4.748E-02
36.99;-4.687E-02
37.99;-4.694E-02
38.99;-4.618E-02
39.99;-4.597E-02
40.99;-4.543E-02
41.99;-4.537E-02
42.99;-4.492E-02
43.99;-4.458E-02
44.99;-4.442E-02
45.99;-4.389E-02
46.99;-4.375E-02
47.99;-4.332E-02
48.99;-4.312E-02
49.99;-4.281E-02
50.99;-4.248E-02
51.99;-4.220E-02
52.99;-4.235E-02
53.99;-4.179E-02
54.99;-4.150E-02
55.99;-4.122E-02
56.99;-4.080E-02
57.99;-4.069E-02
58.99;-4.003E-02
59.99;-4.012E-02
60.99;-3.991E-02
61.99;-3.947E-02
62.99;-3.929E-02
63.99;-3.916E-02
64.99;-3.873E-02
65.99;-3.862E-02
66.99;-3.842E-02
67.99;-3.810E-02
68.99;-3.800E-02
69.99;-3.764E-02
70.99;-3.744E-02
71.99;-3.719E-02
72.99;-3.690E-02
73.99;-3.665E-02
74.99;-3.656E-02
75.99;-3.615E-02
76.99;-3.611E-02
77.99;-3.595E-02
78.99;-3.576E-02
79.99;-3.547E-02
80.99;-3.513E-02
81.99;-3.519E-02
82.99;-3.490E-02
83.99;-3.457E-02
84.99;-3.463E-02
85.99;-3.432E-02
86.99;-3.408E-02
87.99;-3.399E-02
88.99;-3.379E-02
89.99;-3.385E-02
90.99;-3.332E-02
91.99;-3.322E-02
92.99;-3.323E-02
93.99;-3.303E-02
94.99;-3.292E-02
95.99;-3.260E-02
96.99;-3.250E-02
97.99;-3.237E-02
98.99;-3.217E-02
99.99;-3.192E-02
100.99;-3.157E-02
101.99;-3.154E-02
102.99;-3.132E-02
103.99;-3.140E-02
104.99;-3.137E-02
105.99;-3.111E-02
106.99;-3.069E-02
107.99;-3.073E-02
108.99;-3.060E-02
109.99;-3.031E-02
110.99;-3.035E-02
111.99;-3.029E-02
112.99;-3.004E-02
113.99;-2.993E-02
114.99;-2.985E-02
115.99;-2.945E-02
116.99;-2.951E-02
117.99;-2.924E-02
118.99;-2.950E-02
119.99;-2.899E-02
120.99;-2.894E-02
121.99;-2.914E-02
122.99;-2.865E-02
123.99;-2.853E-02
124.99;-2.842E-02
125.99;-2.869E-02
126.99;-2.852E-02
127.99;-2.821E-02
128.99;-2.829E-02
129.99;-2.799E-02
130.99;-2.794E-02
131.99;-2.798E-02
132.99;-2.776E-02
133.99;-2.764E-02
134.99;-2.739E-02
135.99;-2.765E-02
136.99;-2.744E-02
137.99;-2.736E-02
138.99;-2.717E-02
139.99;-2.710E-02
140.99;-2.685E-02
141.99;-2.674E-02
142.99;-2.696E-02
143.99;-2.677E-02
144.99;-2.660E-02
145.99;-2.639E-02
146.99;-2.635E-02
147.99;-2.639E-02
148.99;-2.649E-02
149.99;-2.610E-02
150.99;-2.636E-02
151.99;-2.617E-02
152.99;-2.605E-02
153.99;-2.592E-02
154.99;-2.588E-02
155.99;-2.556E-02
156.99;-2.533E-02
157.99;-2.567E-02
158.99;-2.588E-02
159.99;-2.560E-02
160.99;-2.519E-02
161.99;-2.547E-02
162.99;-2.251E-02
163.99;-2.565E-02
164.99;-8.170E-03
165.99;7.388E-02
166.99;1.574E-01
167.99;2.560E-01
168.99;3.365E-01
169.99;4.079E-01
170.99;5.325E-01
171.99;7.073E-01
172.99;3.591E+00
173.99;3.560E+00
174.99;3.345E+00
175.99;3.299E+00
176.99;3.291E+00
177.99;3.208E+00
178.99;3.771E+00
179.99;3.989E+00
180.99;3.996E+00
181.99;4.000E+00
182.99;4.001E+00
183.99;4.002E+00
184.99;4.002E+00
185.99;4.002E+00
186.99;4.002E+00
187.99;4.002E+00
188.99;4.002E+00
189.99;4.001E+00
190.99;4.001E+00
191.99;4.002E+00
192.99;4.001E+00
193.99;4.001E+00
194.99;4.001E+00
195.99;4.001E+00
196.99;4.000E+00
197.99;4.000E+00
198.99;4.000E+00
199.99;4.000E+00
200.99;4.000E+00
201.99;4.000E+00
202.99;4.000E+00
203.99;4.000E+00
204.99;3.999E+00
205.99;3.999E+00
206.99;3.998E+00
207.99;3.998E+00
208.99;3.997E+00
209.99;3.997E+00
210.99;3.997E+00
211.99;3.997E+00
212.99;3.996E+00
213.99;3.996E+00
214.99;3.995E+00
215.99;3.995E+00
216.99;3.994E+00
217.99;3.994E+00
218.99;3.994E+00
219.99;3.994E+00
220.99;3.994E+00
221.99;3.993E+00
222.99;3.994E+00
223.99;3.993E+00
224.99;3.994E+00
225.99;3.993E+00
226.99;3.993E+00
227.99;3.993E+00
228.99;3.993E+00
229.99;3.994E+00
230.99;3.994E+00
231.99;3.995E+00
232.99;3.994E+00
233.99;3.995E+00
234.99;3.995E+00
235.99;3.995E+00
236.99;3.995E+00
237.99;3.995E+00
238.99;3.995E+00
239.99;3.996E+00
240.99;3.998E+00
241.99;3.859E+00
242.99;3.718E+00
243.99;3.736E+00
244.99;3.661E+00
245.99;3.231E+00
246.99;3.066E+00
247.99;2.963E+00
248.99;2.872E+00
249.99;2.625E+00
250.99;1.627E+00
251.99;5.409E-01
252.99;1.294E-01
253.99;1.194E-01
254.99;1.072E-01
255.99;5.286E-03
256.99;-1.168E-02
257.99;-1.499E-02
258.99;-1.374E-02
259.99;-1.474E-02
261.32;-1.659E-02
262.32;-1.735E-02
263.32;-1.903E-02
264.32;-1.897E-02
268.77;-1.908E-02
269.77;-1.886E-02
270.77;-1.899E-02
271.77;-1.911E-02
272.77;-1.902E-02
273.77;-1.928E-02
274.77;-1.917E-02
275.77;-1.917E-02
276.77;-1.931E-02
277.77;-1.935E-02
278.77;-1.935E-02
279.77;-1.933E-02
280.77;-1.923E-02
281.77;-1.982E-02
282.77;-1.956E-02
283.77;-1.965E-02
284.77;-1.945E-02
285.77;-1.979E-02
286.77;-1.969E-02
287.77;-1.980E-02
288.77;-1.995E-02
289.77;-1.997E-02
290.77;-2.012E-02
291.77;-2.020E-02
292.77;-2.043E-02
293.77;-2.016E-02
294.77;-2.008E-02
295.77;-2.036E-02
296.77;-2.042E-02
297.77;-2.051E-02
298.77;-2.039E-02
299.77;-2.036E-02
300.77;-1.977E-02
301.77;-2.034E-02
302.77;-2.032E-02
303.77;-2.028E-02
304.77;-2.052E-02
305.77;-2.038E-02
306.77;-2.033E-02
307.77;-2.060E-02
308.77;-2.042E-02
309.77;-2.041E-02
310.77;-2.065E-02
311.77;-2.035E-02
312.77;-2.057E-02
313.77;-2.036E-02
314.77;-2.047E-02
315.77;-2.054E-02
316.77;-2.072E-02
317.77;-2.051E-02
318.77;-2.063E-02
319.77;-2.074E-02
320.77;-2.044E-02
321.77;-2.065E-02
322.77;-2.066E-02
323.77;-2.076E-02
324.77;-2.068E-02
325.77;-2.068E-02
326.77;-2.074E-02
327.77;-2.048E-02
328.77;-2.087E-02
329.77;-2.079E-02
330.77;-2.069E-02
331.77;-2.113E-02
332.77;-2.121E-02
333.77;-2.138E-02
334.77;-2.146E-02
335.77;-2.128E-02
336.77;-2.125E-02
337.77;-2.122E-02
338.77;-2.139E-02
339.77;-2.130E-02
340.77;-2.144E-02
341.77;-2.130E-02
342.77;-2.124E-02
343.77;-2.122E-02
344.77;-2.146E-02
345.77;-2.138E-02
346.77;-2.134E-02
347.77;-2.160E-02
348.77;-2.149E-02
349.77;-2.148E-02
350.77;-2.137E-02
351.77;-2.165E-02
352.77;-2.126E-02
353.77;-2.126E-02
354.77;-2.089E-02
355.77;-2.164E-02
356.77;-2.147E-02
357.77;-2.158E-02
358.77;-2.158E-02
359.77;-2.183E-02
360.77;-2.177E-02
361.77;-2.175E-02
362.77;-2.185E-02
363.77;-2.235E-02
364.77;-2.196E-02
365.77;-2.215E-02
366.77;-2.213E-02
367.77;-2.211E-02
368.77;-2.225E-02
369.77;-2.211E-02
370.77;-2.227E-02
371.77;-2.187E-02
372.77;-2.229E-02
373.77;-2.186E-02
374.77;-2.219E-02
375.77;-2.226E-02
376.77;-2.240E-02
377.77;-2.223E-02
378.77;-2.266E-02
379.77;-2.229E-02
380.77;-2.255E-02
381.77;-2.213E-02
382.77;-2.252E-02
383.77;-2.248E-02
384.77;-2.261E-02
385.77;-2.224E-02
386.77;-2.252E-02
387.77;-2.241E-02
388.77;-2.263E-02
389.77;-2.258E-02
390.77;-2.257E-02
391.77;-2.255E-02
392.77;-2.266E-02
393.77;-2.236E-02
394.77;-2.236E-02
395.77;-2.281E-02
396.77;-2.278E-02
397.77;-2.267E-02
398.77;-2.260E-02
399.77;-2.274E-02
400.77;-2.254E-02
401.77;-2.260E-02
402.77;-2.268E-02
403.77;-2.267E-02
404.77;-2.285E-02
405.77;-2.270E-02
406.77;-2.247E-02
407.77;-2.287E-02
408.77;-2.300E-02
409.77;-2.283E-02
410.77;-2.291E-02
411.77;-2.276E-02
412.77;-2.250E-02
413.77;-2.266E-02
414.77;-2.299E-02
415.77;-2.301E-02
416.77;-2.285E-02
417.77;-2.266E-02
418.77;-2.290E-02
419.77;-2.300E-02
420.77;-2.312E-02
421.77;-2.314E-02
422.77;-2.315E-02
423.77;-2.305E-02
424.77;-2.330E-02
425.77;-2.325E-02
426.77;-2.323E-02
427.77;-2.283E-02
428.77;-2.320E-02
429.77;-2.313E-02
430.77;-2.327E-02
431.77;-2.287E-02
432.77;-2.321E-02
433.77;-2.336E-02
434.77;1.426E-02
435.77;1.471E-01
436.77;2.399E-01
437.77;4.136E-01
438.77;1.800E+00
439.77;2.081E+00
440.77;2.216E+00
441.77;2.505E+00
442.77;2.702E+00
443.77;2.787E+00
444.77;2.808E+00
445.77;2.787E+00
446.77;2.789E+00
447.77;2.787E+00
448.77;2.802E+00
449.77;2.813E+00
450.77;2.813E+00
451.77;2.808E+00
452.77;2.806E+00
453.77;2.795E+00
454.77;2.787E+00
455.77;2.772E+00
456.77;2.766E+00
457.77;2.759E+00
458.77;2.753E+00
459.77;2.749E+00
460.77;2.750E+00
461.77;2.744E+00
462.77;2.731E+00
463.77;2.725E+00
464.77;2.718E+00
465.77;2.712E+00
466.77;2.706E+00
467.77;2.703E+00
468.77;2.703E+00
469.77;2.702E+00
470.77;2.699E+00
471.77;2.695E+00
472.77;2.690E+00
473.77;2.687E+00
474.77;2.685E+00
475.77;2.685E+00
476.77;2.684E+00
477.77;2.684E+00
478.77;2.683E+00
479.77;2.682E+00
480.77;2.680E+00
481.77;2.678E+00
482.77;2.676E+00
483.77;2.674E+00
484.77;2.672E+00
485.77;2.670E+00
486.77;2.667E+00
487.77;2.662E+00
488.77;2.660E+00
489.77;2.659E+00
490.77;2.655E+00
491.77;2.631E+00
492.77;2.618E+00
493.77;2.642E+00
494.77;2.635E+00
495.77;2.626E+00
496.77;2.627E+00
497.77;2.629E+00
498.77;2.628E+00
499.77;2.626E+00
500.77;2.622E+00
501.77;2.616E+00
502.77;2.605E+00
503.77;2.602E+00
504.77;2.604E+00
505.77;2.601E+00
506.77;2.597E+00
507.77;2.596E+00
508.77;2.592E+00
509.77;2.580E+00
510.77;2.573E+00
511.77;2.573E+00
512.77;2.575E+00
513.77;2.575E+00
514.77;2.577E+00
515.77;2.577E+00
516.77;2.570E+00
517.77;2.549E+00
518.77;2.546E+00
519.77;2.557E+00
520.77;2.558E+00
521.77;2.560E+00
522.77;2.556E+00
523.77;2.551E+00
524.77;2.546E+00
525.77;2.544E+00
526.77;2.541E+00
527.77;2.535E+00
528.77;2.532E+00
529.77;2.528E+00
530.77;2.524E+00
531.77;2.520E+00
532.77;2.516E+00
533.77;2.512E+00
534.77;2.509E+00
535.77;2.509E+00
536.77;2.509E+00
537.77;2.509E+00
538.77;2.507E+00
539.77;2.505E+00
540.77;2.503E+00
541.77;2.501E+00
542.77;2.500E+00
543.77;2.499E+00
544.77;2.497E+00
545.77;2.496E+00
546.77;2.495E+00
547.77;2.494E+00
548.77;2.493E+00
549.77;2.492E+00
550.77;2.490E+00
551.77;2.489E+00
552.77;2.487E+00
553.77;2.485E+00
554.77;2.483E+00
555.77;2.481E+00
556.77;2.480E+00
557.77;2.478E+00
558.77;2.475E+00
559.77;2.474E+00
560.77;2.472E+00
561.77;2.466E+00
562.77;2.457E+00
563.77;2.450E+00
564.77;2.449E+00
565.77;2.449E+00
566.77;2.450E+00
567.77;2.452E+00
568.77;2.445E+00
569.77;2.427E+00
570.77;2.415E+00
571.77;2.424E+00
572.77;2.430E+00
573.77;2.431E+00
574.77;2.426E+00
575.77;2.419E+00
576.77;2.413E+00
577.77;2.410E+00
578.77;2.408E+00
579.77;2.403E+00
580.77;2.398E+00
581.77;2.394E+00
582.77;2.390E+00
583.77;2.387E+00
584.77;2.384E+00
585.77;2.381E+00
586.77;2.378E+00
587.77;2.376E+00
588.77;2.375E+00
589.77;2.373E+00
590.77;2.371E+00
591.77;2.370E+00
592.77;2.369E+00
593.77;2.368E+00
594.77;2.368E+00
595.77;2.368E+00
596.77;2.367E+00
597.77;2.367E+00
598.77;2.366E+00
599.77;2.366E+00
600.77;2.364E+00
601.77;2.363E+00
602.77;2.362E+00
603.77;2.361E+00
604.77;2.360E+00
605.77;2.359E+00
606.77;2.357E+00
607.77;2.356E+00
608.77;2.354E+00
609.77;2.353E+00
610.77;2.351E+00
611.77;2.349E+00
612.77;2.348E+00
613.77;2.346E+00
614.77;2.345E+00
615.77;2.343E+00
616.77;2.341E+00
617.77;2.339E+00
618.77;2.337E+00
619.77;2.336E+00
620.77;2.334E+00
621.77;2.332E+00
622.77;2.330E+00
623.77;2.328E+00
624.77;2.326E+00
625.77;2.325E+00
626.77;2.322E+00
627.77;2.321E+00
628.77;2.319E+00
629.77;2.317E+00
630.77;2.315E+00
631.77;2.313E+00
632.77;2.311E+00
633.77;2.309E+00
634.77;2.308E+00
635.77;2.306E+00
636.77;2.304E+00
637.77;2.302E+00
638.77;2.300E+00
639.77;2.298E+00
640.77;2.297E+00
641.77;2.295E+00
642.77;2.293E+00
643.77;2.291E+00
644.77;2.289E+00
645.77;2.288E+00
646.77;2.286E+00
647.77;2.284E+00
648.77;2.282E+00
649.77;2.280E+00
650.77;2.279E+00
651.77;2.277E+00
652.77;2.275E+00
653.77;2.273E+00
654.77;2.272E+00
655.77;2.270E+00
656.77;2.268E+00
657.77;2.267E+00
658.77;2.265E+00
659.77;2.263E+00
660.77;2.261E+00
661.77;2.259E+00
662.77;2.252E+00
