#
#
#
#t (s);#V (mV)
-0.03;-2.949E-01
0.99;-2.951E-01
1.99;-2.948E-01
2.99;-2.944E-01
3.99;-2.942E-01
4.99;-2.944E-01
5.99;-2.943E-01
6.99;-2.938E-01
7.99;-2.936E-01
8.99;-2.933E-01
9.99;-2.934E-01
10.99;-2.932E-01
11.99;-2.933E-01
12.99;-2.930E-01
13.99;-2.928E-01
14.99;-2.930E-01
15.99;-2.929E-01
16.99;-2.924E-01
17.99;-2.924E-01
18.99;-2.919E-01
19.99;-2.921E-01
20.99;-2.920E-01
21.99;-2.918E-01
22.99;-2.916E-01
23.99;-2.915E-01
24.99;-2.913E-01
26.00;-2.908E-01
27.00;-2.907E-01
28.00;-2.909E-01
29.01;-2.905E-01
30.01;-2.904E-01
31.01;-2.901E-01
32.01;-2.901E-01
33.01;-2.898E-01
34.01;-2.896E-01
35.01;-2.895E-01
36.01;-2.894E-01
37.01;-2.894E-01
38.01;-2.893E-01
39.01;-2.889E-01
40.01;-2.889E-01
41.01;-2.885E-01
42.01;-2.886E-01
43.01;-2.887E-01
44.01;-2.882E-01
45.01;-2.880E-01
46.01;-2.880E-01
47.01;-2.878E-01
48.01;-2.876E-01
49.01;-2.876E-01
50.01;-2.874E-01
51.01;-2.871E-01
52.03;-2.867E-01
53.03;-2.866E-01
54.03;-2.865E-01
55.03;-2.864E-01
56.03;-2.864E-01
57.03;-2.862E-01
58.03;-2.863E-01
59.03;-2.859E-01
60.03;-2.859E-01
61.03;-2.856E-01
62.03;-2.856E-01
63.03;-2.854E-01
64.03;-2.853E-01
65.03;-2.855E-01
66.03;-2.850E-01
67.03;-2.851E-01
68.03;-2.850E-01
69.04;-2.844E-01
70.04;-2.847E-01
71.04;-2.842E-01
72.06;-2.842E-01
73.07;-2.844E-01
74.07;-2.841E-01
75.07;-2.837E-01
76.07;-2.838E-01
77.07;-2.837E-01
78.07;-2.834E-01
79.07;-2.836E-01
80.07;-2.831E-01
81.07;-2.831E-01
82.07;-2.829E-01
83.07;-2.832E-01
84.07;-2.830E-01
85.07;-2.826E-01
86.07;-2.825E-01
87.07;-2.827E-01
88.07;-2.826E-01
89.07;-2.823E-01
90.07;-2.821E-01
91.07;-2.820E-01
92.07;-2.821E-01
93.07;-2.815E-01
94.07;-2.819E-01
95.07;-2.815E-01
96.07;-2.817E-01
97.09;-2.816E-01
98.09;-2.811E-01
99.09;-2.815E-01
100.10;-2.816E-01
101.10;-2.815E-01
102.10;-2.814E-01
103.10;-2.812E-01
104.10;-2.810E-01
105.10;-2.810E-01
106.10;-2.809E-01
107.10;-2.811E-01
108.10;-2.811E-01
109.10;-2.805E-01
110.10;-2.809E-01
111.10;-2.805E-01
112.10;-2.805E-01
113.10;-2.803E-01
114.10;-2.672E-01
115.11;-2.291E-01
116.11;-1.712E-01
117.11;-9.862E-02
118.11;-1.662E-02
119.11;7.162E-02
120.11;1.642E-01
121.11;2.595E-01
122.11;3.557E-01
123.11;4.525E-01
124.11;5.490E-01
125.11;6.450E-01
126.11;7.398E-01
127.11;8.333E-01
128.11;9.249E-01
129.11;1.015E+00
130.11;1.103E+00
131.11;1.189E+00
132.12;1.274E+00
133.12;1.356E+00
134.12;1.435E+00
135.14;1.514E+00
136.14;1.589E+00
137.14;1.661E+00
138.14;1.732E+00
139.14;1.800E+00
140.14;1.867E+00
141.14;1.931E+00
142.14;1.993E+00
143.14;2.053E+00
144.14;2.112E+00
145.14;2.168E+00
146.14;2.222E+00
147.14;2.275E+00
148.14;2.326E+00
149.14;2.374E+00
150.14;2.422E+00
151.15;2.468E+00
152.15;2.512E+00
153.15;2.555E+00
154.15;2.595E+00
155.15;2.635E+00
156.15;2.673E+00
157.15;2.709E+00
158.15;2.745E+00
159.15;2.779E+00
160.15;2.812E+00
161.15;2.843E+00
162.15;2.874E+00
163.15;2.903E+00
164.15;2.931E+00
165.15;2.958E+00
166.16;2.985E+00
167.16;3.010E+00
168.16;3.034E+00
169.16;3.057E+00
170.16;3.080E+00
171.16;3.102E+00
172.16;3.122E+00
173.16;3.142E+00
174.16;3.161E+00
175.16;3.180E+00
176.16;3.198E+00
177.16;3.215E+00
178.16;3.231E+00
179.16;3.247E+00
180.16;3.262E+00
181.16;3.277E+00
182.16;3.291E+00
183.16;3.304E+00
184.16;3.317E+00
185.16;3.329E+00
186.16;3.342E+00
187.16;3.353E+00
188.16;3.364E+00
189.16;3.375E+00
190.16;3.385E+00
191.16;3.395E+00
192.16;3.404E+00
193.16;3.413E+00
194.16;3.421E+00
195.16;3.430E+00
196.16;3.437E+00
197.16;3.445E+00
198.16;3.453E+00
199.16;3.459E+00
200.16;3.466E+00
201.16;3.473E+00
202.15;3.479E+00
203.15;3.484E+00
204.15;3.490E+00
205.15;3.496E+00
206.15;3.500E+00
207.15;3.506E+00
208.15;3.511E+00
209.15;3.515E+00
210.15;3.519E+00
211.15;3.523E+00
212.15;3.527E+00
213.15;3.531E+00
214.15;3.535E+00
215.15;3.538E+00
216.15;3.541E+00
217.15;3.543E+00
218.15;3.543E+00
219.15;3.541E+00
220.15;3.539E+00
221.15;3.538E+00
222.15;3.535E+00
223.15;3.532E+00
224.15;3.530E+00
225.15;3.527E+00
226.17;3.524E+00
227.17;3.522E+00
228.17;3.519E+00
229.18;3.516E+00
230.18;3.513E+00
231.18;3.510E+00
232.18;3.508E+00
233.18;3.506E+00
234.18;3.503E+00
235.18;3.501E+00
236.18;3.498E+00
237.18;3.496E+00
238.18;3.494E+00
239.18;3.492E+00
240.18;3.489E+00
241.18;3.487E+00
242.18;3.485E+00
243.18;3.484E+00
244.18;3.481E+00
245.18;3.479E+00
246.18;3.478E+00
247.18;3.476E+00
248.18;3.474E+00
249.18;3.472E+00
250.19;3.471E+00
251.19;3.469E+00
252.19;3.468E+00
253.19;3.467E+00
254.19;3.465E+00
255.19;3.464E+00
256.19;3.463E+00
257.19;3.461E+00
258.19;3.460E+00
259.19;3.459E+00
260.19;3.458E+00
261.19;3.457E+00
262.19;3.456E+00
263.19;3.455E+00
264.19;3.454E+00
265.19;3.453E+00
266.19;3.452E+00
267.19;3.451E+00
268.20;3.450E+00
269.20;3.450E+00
270.20;3.449E+00
271.20;3.448E+00
272.20;3.448E+00
273.20;3.447E+00
274.20;3.447E+00
275.20;3.445E+00
276.20;3.445E+00
277.20;3.445E+00
278.20;3.447E+00
279.20;3.449E+00
280.20;3.452E+00
281.20;3.455E+00
282.20;3.459E+00
283.20;3.463E+00
284.20;3.466E+00
285.20;3.470E+00
286.20;3.474E+00
287.20;3.477E+00
288.20;3.481E+00
289.20;3.484E+00
290.20;3.488E+00
291.20;3.491E+00
292.20;3.495E+00
293.20;3.498E+00
294.20;3.501E+00
295.20;3.504E+00
296.20;3.507E+00
297.20;3.511E+00
298.20;3.514E+00
299.20;3.519E+00
300.20;3.523E+00
301.20;3.527E+00
302.20;3.531E+00
303.20;3.535E+00
304.20;3.532E+00
305.20;3.504E+00
306.20;3.454E+00
307.20;3.387E+00
308.20;3.310E+00
309.20;3.225E+00
310.20;3.136E+00
311.19;3.043E+00
312.19;2.949E+00
313.19;2.855E+00
314.19;2.760E+00
315.19;2.666E+00
316.19;2.573E+00
317.19;2.482E+00
318.19;2.392E+00
319.19;2.303E+00
320.19;2.217E+00
321.19;2.133E+00
322.19;2.050E+00
323.19;1.970E+00
324.19;1.892E+00
325.19;1.816E+00
326.19;1.742E+00
327.19;1.671E+00
328.19;1.602E+00
329.19;1.535E+00
330.19;1.470E+00
331.19;1.407E+00
332.19;1.346E+00
333.19;1.287E+00
334.21;1.229E+00
335.21;1.174E+00
336.21;1.121E+00
337.22;1.069E+00
338.22;1.020E+00
339.22;9.723E-01
340.22;9.267E-01
341.22;8.822E-01
342.22;8.398E-01
343.22;7.990E-01
344.22;7.593E-01
345.22;7.214E-01
346.22;6.847E-01
347.22;6.496E-01
348.22;6.157E-01
349.22;5.833E-01
350.22;5.518E-01
351.22;5.217E-01
352.22;4.929E-01
353.24;4.644E-01
354.25;4.374E-01
355.26;4.117E-01
356.26;3.871E-01
357.26;3.632E-01
358.26;3.405E-01
359.26;3.188E-01
360.26;2.978E-01
361.26;2.777E-01
362.26;2.585E-01
363.26;2.402E-01
364.26;2.222E-01
365.26;2.055E-01
366.26;1.890E-01
367.26;1.733E-01
368.26;1.584E-01
369.26;1.440E-01
370.26;1.306E-01
371.26;1.173E-01
372.26;1.045E-01
373.26;9.250E-02
374.26;8.117E-02
375.26;6.969E-02
376.26;5.906E-02
377.26;4.926E-02
378.26;3.943E-02
379.26;3.017E-02
380.28;2.135E-02
381.28;1.301E-02
382.28;4.792E-03
383.28;-3.132E-03
384.28;-1.016E-02
385.28;-1.722E-02
386.28;-2.398E-02
387.28;-3.016E-02
388.28;-3.616E-02
389.28;-4.215E-02
390.28;-4.750E-02
391.28;-5.272E-02
392.28;-5.781E-02
393.28;-6.246E-02
394.28;-6.689E-02
395.28;-7.127E-02
396.28;-7.548E-02
397.28;-7.946E-02
398.28;-8.315E-02
399.28;-8.661E-02
400.28;-8.953E-02
401.28;-9.272E-02
