# x-position [um], Intensity [W/cm^2], z-position[mm]
0.000000000000000000e+00,2.485971101528583205e+01,-1.000000000000000000e+01
1.000000000000000000e+00,2.508877584291559515e+01,-1.000000000000000000e+01
2.000000000000000000e+00,1.847832834599570617e+01,-1.000000000000000000e+01
3.000000000000000000e+00,2.069705965397507441e+01,-1.000000000000000000e+01
4.000000000000000000e+00,2.712934697036818221e+01,-1.000000000000000000e+01
5.000000000000000000e+00,2.018994850091926097e+01,-1.000000000000000000e+01
6.000000000000000000e+00,2.754561226728916168e+01,-1.000000000000000000e+01
7.000000000000000000e+00,3.063759147143746375e+01,-1.000000000000000000e+01
8.000000000000000000e+00,2.888390140208860757e+01,-1.000000000000000000e+01
9.000000000000000000e+00,3.605830180711912902e+01,-1.000000000000000000e+01
1.000000000000000000e+01,2.958818942383399175e+01,-1.000000000000000000e+01
1.100000000000000000e+01,3.607923148034688410e+01,-1.000000000000000000e+01
1.200000000000000000e+01,4.088618676202091251e+01,-1.000000000000000000e+01
1.300000000000000000e+01,4.422114825175195563e+01,-1.000000000000000000e+01
1.400000000000000000e+01,4.355583842268569583e+01,-1.000000000000000000e+01
1.500000000000000000e+01,4.234555159241095623e+01,-1.000000000000000000e+01
1.600000000000000000e+01,4.474950972854293241e+01,-1.000000000000000000e+01
1.700000000000000000e+01,4.997248581150918056e+01,-1.000000000000000000e+01
1.800000000000000000e+01,4.745302891421300018e+01,-1.000000000000000000e+01
1.900000000000000000e+01,5.065469768585841592e+01,-1.000000000000000000e+01
2.000000000000000000e+01,6.096750528434981220e+01,-1.000000000000000000e+01
2.100000000000000000e+01,6.070434203842489040e+01,-1.000000000000000000e+01
2.200000000000000000e+01,7.063101410973158067e+01,-1.000000000000000000e+01
2.300000000000000000e+01,6.915931297482092077e+01,-1.000000000000000000e+01
2.400000000000000000e+01,7.161865151450098210e+01,-1.000000000000000000e+01
2.500000000000000000e+01,7.793639499199683485e+01,-1.000000000000000000e+01
2.600000000000000000e+01,8.127818857685588227e+01,-1.000000000000000000e+01
2.700000000000000000e+01,8.609914416011383764e+01,-1.000000000000000000e+01
2.800000000000000000e+01,8.440800577084345946e+01,-1.000000000000000000e+01
2.900000000000000000e+01,9.084827695689671145e+01,-1.000000000000000000e+01
3.000000000000000000e+01,8.854534621524297222e+01,-1.000000000000000000e+01
3.100000000000000000e+01,9.866936248727542136e+01,-1.000000000000000000e+01
3.200000000000000000e+01,9.775874023645791056e+01,-1.000000000000000000e+01
3.300000000000000000e+01,9.860278892321943545e+01,-1.000000000000000000e+01
3.400000000000000000e+01,1.044976921298763415e+02,-1.000000000000000000e+01
3.500000000000000000e+01,1.068249547321316157e+02,-1.000000000000000000e+01
3.600000000000000000e+01,1.083279091763154156e+02,-1.000000000000000000e+01
3.700000000000000000e+01,1.077595785328698099e+02,-1.000000000000000000e+01
3.800000000000000000e+01,1.119871325094010786e+02,-1.000000000000000000e+01
3.900000000000000000e+01,1.099612448488617957e+02,-1.000000000000000000e+01
4.000000000000000000e+01,1.182752309359368041e+02,-1.000000000000000000e+01
4.100000000000000000e+01,1.097020763436522088e+02,-1.000000000000000000e+01
4.200000000000000000e+01,1.191412169238094378e+02,-1.000000000000000000e+01
4.300000000000000000e+01,1.192535617261067387e+02,-1.000000000000000000e+01
4.400000000000000000e+01,1.161796846013148468e+02,-1.000000000000000000e+01
4.500000000000000000e+01,1.165163039089677994e+02,-1.000000000000000000e+01
4.600000000000000000e+01,1.164941726486553648e+02,-1.000000000000000000e+01
4.700000000000000000e+01,1.100773813615294046e+02,-1.000000000000000000e+01
4.800000000000000000e+01,1.107246786980999644e+02,-1.000000000000000000e+01
4.900000000000000000e+01,1.095176481407029314e+02,-1.000000000000000000e+01
5.000000000000000000e+01,1.045903578953812882e+02,-1.000000000000000000e+01
5.100000000000000000e+01,1.059100061646962985e+02,-1.000000000000000000e+01
5.200000000000000000e+01,1.031867585543657526e+02,-1.000000000000000000e+01
5.300000000000000000e+01,1.028929354767686135e+02,-1.000000000000000000e+01
5.400000000000000000e+01,1.017807561118198123e+02,-1.000000000000000000e+01
5.500000000000000000e+01,9.458374990420595907e+01,-1.000000000000000000e+01
5.600000000000000000e+01,9.413175263383477898e+01,-1.000000000000000000e+01
5.700000000000000000e+01,8.907568988448814196e+01,-1.000000000000000000e+01
5.800000000000000000e+01,8.830121474742348653e+01,-1.000000000000000000e+01
5.900000000000000000e+01,8.314735926647962572e+01,-1.000000000000000000e+01
6.000000000000000000e+01,7.951640694963073486e+01,-1.000000000000000000e+01
6.100000000000000000e+01,7.470094413454908988e+01,-1.000000000000000000e+01
6.200000000000000000e+01,7.148137274327908131e+01,-1.000000000000000000e+01
6.300000000000000000e+01,6.863892183487520526e+01,-1.000000000000000000e+01
6.400000000000000000e+01,6.683145248164065322e+01,-1.000000000000000000e+01
6.500000000000000000e+01,6.453958434252652410e+01,-1.000000000000000000e+01
6.600000000000000000e+01,6.286870386880653427e+01,-1.000000000000000000e+01
6.700000000000000000e+01,5.863255582650354825e+01,-1.000000000000000000e+01
6.800000000000000000e+01,5.122417788633996594e+01,-1.000000000000000000e+01
6.900000000000000000e+01,5.318998039253882837e+01,-1.000000000000000000e+01
7.000000000000000000e+01,4.439435814323697116e+01,-1.000000000000000000e+01
7.100000000000000000e+01,4.279032280752940665e+01,-1.000000000000000000e+01
7.200000000000000000e+01,4.423293610962942779e+01,-1.000000000000000000e+01
7.300000000000000000e+01,3.623864378004979159e+01,-1.000000000000000000e+01
7.400000000000000000e+01,3.883981757189240369e+01,-1.000000000000000000e+01
7.500000000000000000e+01,3.423733676549774430e+01,-1.000000000000000000e+01
7.600000000000000000e+01,3.486399824657124924e+01,-1.000000000000000000e+01
7.700000000000000000e+01,3.011967444272985261e+01,-1.000000000000000000e+01
7.800000000000000000e+01,3.251947566542946788e+01,-1.000000000000000000e+01
7.900000000000000000e+01,2.973729500910724965e+01,-1.000000000000000000e+01
8.000000000000000000e+01,2.558417654645955963e+01,-1.000000000000000000e+01
8.100000000000000000e+01,2.092626926929027320e+01,-1.000000000000000000e+01
8.200000000000000000e+01,2.616853870685499217e+01,-1.000000000000000000e+01
8.300000000000000000e+01,1.778655019348374111e+01,-1.000000000000000000e+01
8.400000000000000000e+01,2.558400360035669152e+01,-1.000000000000000000e+01
8.500000000000000000e+01,2.511806929313973313e+01,-1.000000000000000000e+01
8.600000000000000000e+01,2.253143718086614911e+01,-1.000000000000000000e+01
8.700000000000000000e+01,2.076417614615021989e+01,-1.000000000000000000e+01
8.800000000000000000e+01,1.668692795170613508e+01,-1.000000000000000000e+01
8.900000000000000000e+01,1.945212191729358508e+01,-1.000000000000000000e+01
9.000000000000000000e+01,1.727542471372937882e+01,-1.000000000000000000e+01
9.100000000000000000e+01,1.847012576428593178e+01,-1.000000000000000000e+01
9.200000000000000000e+01,2.015204661161007138e+01,-1.000000000000000000e+01
9.300000000000000000e+01,1.979112841275342305e+01,-1.000000000000000000e+01
9.400000000000000000e+01,1.484634843656296965e+01,-1.000000000000000000e+01
9.500000000000000000e+01,1.659468542732872720e+01,-1.000000000000000000e+01
9.600000000000000000e+01,2.151063207321846704e+01,-1.000000000000000000e+01
9.700000000000000000e+01,1.276718486401415120e+01,-1.000000000000000000e+01
9.800000000000000000e+01,1.643960172838219336e+01,-1.000000000000000000e+01
9.900000000000000000e+01,1.104352351113132080e+01,-1.000000000000000000e+01
1.000000000000000000e+02,1.906081535681289552e+01,-1.000000000000000000e+01
0.000000000000000000e+00,1.861273969266262540e+01,-9.000000000000000000e+00
1.000000000000000000e+00,2.576794804563396468e+01,-9.000000000000000000e+00
2.000000000000000000e+00,2.209634516411206206e+01,-9.000000000000000000e+00
3.000000000000000000e+00,1.536954955907330600e+01,-9.000000000000000000e+00
4.000000000000000000e+00,2.139502425886028902e+01,-9.000000000000000000e+00
5.000000000000000000e+00,2.254452891007825599e+01,-9.000000000000000000e+00
6.000000000000000000e+00,2.220252758638712010e+01,-9.000000000000000000e+00
7.000000000000000000e+00,2.143044928874559929e+01,-9.000000000000000000e+00
8.000000000000000000e+00,2.550678159044359461e+01,-9.000000000000000000e+00
9.000000000000000000e+00,3.038173048223816508e+01,-9.000000000000000000e+00
1.000000000000000000e+01,3.168951313049500840e+01,-9.000000000000000000e+00
1.100000000000000000e+01,3.165634006770187270e+01,-9.000000000000000000e+00
1.200000000000000000e+01,2.866406910965095634e+01,-9.000000000000000000e+00
1.300000000000000000e+01,3.264243161543926419e+01,-9.000000000000000000e+00
1.400000000000000000e+01,3.351159807314700601e+01,-9.000000000000000000e+00
1.500000000000000000e+01,3.180909918371786205e+01,-9.000000000000000000e+00
1.600000000000000000e+01,3.699355019739633832e+01,-9.000000000000000000e+00
1.700000000000000000e+01,4.316388337014206655e+01,-9.000000000000000000e+00
1.800000000000000000e+01,5.200644188156302050e+01,-9.000000000000000000e+00
1.900000000000000000e+01,4.799899865916342634e+01,-9.000000000000000000e+00
2.000000000000000000e+01,5.358204053259752442e+01,-9.000000000000000000e+00
2.100000000000000000e+01,5.708125015249407852e+01,-9.000000000000000000e+00
2.200000000000000000e+01,6.439871486395783506e+01,-9.000000000000000000e+00
2.300000000000000000e+01,6.137457932449394349e+01,-9.000000000000000000e+00
2.400000000000000000e+01,6.440279353251835914e+01,-9.000000000000000000e+00
2.500000000000000000e+01,7.085102647072628201e+01,-9.000000000000000000e+00
2.600000000000000000e+01,7.661640379729131212e+01,-9.000000000000000000e+00
2.700000000000000000e+01,8.199331598539987453e+01,-9.000000000000000000e+00
2.800000000000000000e+01,8.758139397265667014e+01,-9.000000000000000000e+00
2.900000000000000000e+01,8.388195598979149281e+01,-9.000000000000000000e+00
3.000000000000000000e+01,8.642979494336206869e+01,-9.000000000000000000e+00
3.100000000000000000e+01,8.813718021441948736e+01,-9.000000000000000000e+00
3.200000000000000000e+01,9.931941358762081506e+01,-9.000000000000000000e+00
3.300000000000000000e+01,1.031482257925471799e+02,-9.000000000000000000e+00
